"profile index","folder","dtime_utc","lon_dd","lat_dd","depth_m","temp_c","sal_psu","chl_rfu","do_mgl"
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,2,28.2559672238658,31.3328270865629,0.013679818683084,6.44233025614708
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,3,28.2647521958656,32.0381981949816,0.0139775827788718,6.41352782030836
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,4,28.2728354913911,32.1817423273032,0.0132778868757319,6.40381511245752
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,5,28.2920818386644,32.1592290460189,0.012897781803066,6.38745041315724
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,6,28.3221324521037,32.4090215746587,0.0127879801158413,6.3240183401409
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,7,28.3345867007091,32.5928777300514,0.0123778115964768,6.28431024281312
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,8,28.3442446583704,32.7356224323821,0.0116845908031521,6.25656393468203
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,9,28.3554140555344,32.8405126303753,0.011290075745793,6.24481340190444
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,10,28.4223314263386,33.1425866864839,0.0111506609311218,6.21806129231846
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,11,28.5264148052044,33.4626878391825,0.0114585604367625,6.19083610335203
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,12,28.576509738185,33.5997868566462,0.0118217245104393,6.17859146811528
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,13,28.6096545291975,33.7132666192509,0.0123794580149875,6.17016576936444
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,14,28.618826188683,33.8681271907262,0.0140198279492832,6.15657825248968
1,"11-1-19_BG","2019-11-01 09:52:43",NA,NA,15,28.613041361243,33.9831373734263,0.0146360256324303,6.13317843780381
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,1,28.4731029425725,33.4998709008914,2.91585772542654,7.30902637726131
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,2,28.4744875323111,33.5456870125501,2.59547097910891,7.302341555782
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,3,28.458187263633,33.6033352195735,1.70867602252486,7.20237674626195
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,4,28.4364392718973,33.6124952072672,1.164926037145,7.06681730569866
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,5,28.405108691487,33.689369545336,0.677226168021234,6.67971066710153
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,6,28.4158619215222,34.0334054115459,0.381698246985255,6.22815533075878
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,7,28.4415779988452,34.3209160766375,0.184218255078419,5.98901048469222
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,8,28.4572884263049,34.7299362317926,0.0196894471314063,5.59650452193568
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,9,28.4445350237272,34.9568649932328,0.0301741430571275,5.2341837890672
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,10,28.4464200861986,35.0571363808554,0.0401293245274134,4.99358449109605
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,11,28.460853455726,35.1012390634696,0.0298520121435391,4.8211958789468
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,12,28.4694733919293,35.1100366193113,0.0234573998852077,4.76254340058854
2,"11-1-19_BG","2019-11-01 10:16:58",-82.3506411842105,26.6589883333333,13,28.4808854934176,35.1240362059407,0.0191076243278272,4.67281601225863
3,"11-1-19_BG","2019-11-01 10:40:29",-82.2622256521739,26.7105696376812,1,28.3547252845724,32.3535059968611,0.0406570677585564,6.6258560043088
3,"11-1-19_BG","2019-11-01 10:40:29",-82.2622256521739,26.7105696376812,2,28.3798439138216,32.3468052336898,0.0536976715954398,6.61004530205246
3,"11-1-19_BG","2019-11-01 10:40:29",-82.2622256521739,26.7105696376812,3,28.4267018941006,32.345487532023,0.0939864318267322,6.57599810305449
3,"11-1-19_BG","2019-11-01 10:40:29",-82.2622256521739,26.7105696376812,4,28.4593281130295,32.3533569422218,0.124288362879431,6.55730579394521
3,"11-1-19_BG","2019-11-01 10:40:29",-82.2622256521739,26.7105696376812,5,28.5098119475088,32.3877264508834,0.107236073698401,6.53824333125114
3,"11-1-19_BG","2019-11-01 10:40:29",-82.2622256521739,26.7105696376812,6,28.5445800179816,32.521351251475,0.0739963003659115,6.52449424225507
3,"11-1-19_BG","2019-11-01 10:40:29",-82.2622256521739,26.7105696376812,7,28.5856741804437,32.599357752513,0.0833049639249886,6.51029500361528
3,"11-1-19_BG","2019-11-01 10:40:29",-82.2622256521739,26.7105696376812,8,28.6054037268681,32.5541303640335,0.0804852797468398,6.50160081128078
3,"11-1-19_BG","2019-11-01 10:40:29",-82.2622256521739,26.7105696376812,9,28.6290587182465,32.5694908439219,0.0941585723790652,6.49845808770132
3,"11-1-19_BG","2019-11-01 10:40:29",-82.2622256521739,26.7105696376812,10,28.6417729943122,32.5843059434936,0.102119452858765,6.49481765418368
