"profile_index","aquatroll_sn","Date","Longitude","Latitude","Surface.Temperature","Bottom.Temperature","Surface.Dissolved.Oxygen","Bottom.Dissolved.Oxygen"
1,676154,"2019-11-01 13:52:29",NA,NA,28.2559672238658,28.613041361243,6.44233025614708,6.13317843780381
2,676154,"2019-11-01 14:16:40",-82.3506411842105,26.6589883333333,28.4731029425725,28.4808854934176,7.30902637726131,4.67281601225863
3,676154,"2019-11-01 14:40:19",-82.2622256521739,26.7105696376812,28.3547252845724,28.6641524080358,6.6258560043088,6.47149654949459
4,676154,"2019-11-05 15:42:58",-82.2649986,26.7094457333333,27.3541316193325,27.2330598776344,6.83521343722628,6.63372575353277
5,676154,"2019-11-05 16:04:23",-82.2924189784946,26.6919239784946,27.994760195129,27.2970887339761,10.5975864801058,6.90426676694214
6,676154,"2019-11-05 16:20:29",-82.3411090333334,26.6887814666667,28.0020181965897,27.6269269022837,7.17096962377333,5.3173183902429
7,676154,"2019-11-05 16:35:15",-82.3800804761905,26.6779661904762,28.3869511260498,27.6327243334093,7.02187056317066,5.64610685867518
8,676154,"2019-11-05 16:48:15",-82.4178393290043,26.6686139393939,28.646479461617,27.6709770510776,6.88206839487377,6.10587630266018
9,676154,"2019-11-05 17:08:14",-82.4476063333333,26.6559446153846,28.3544092773291,27.8215880491973,6.69952181790736,6.27908418044593
10,676154,"2019-11-05 17:34:24",-82.4422547740113,26.5909543502825,28.4409030858197,27.8806719854835,6.71806160551101,6.30948230187733
11,676154,"2019-11-05 17:53:21",-82.4088578531074,26.5913266949153,28.9501134993744,27.8140080035725,6.55540274732608,6.41957853177264
12,676154,"2019-11-05 18:11:08",-82.3744330503145,26.5920236792453,28.7006525907625,27.7368773334416,7.60875894464408,6.37886711169822
13,676154,"2019-11-05 18:22:05",-82.3415680141844,26.593900283688,28.991839331547,27.8134174166505,7.91510851162549,6.92423323966767
14,676154,"2019-11-05 18:33:00",-82.3094019767442,26.5958514341085,28.9141985648296,27.8418004548533,7.77361006401141,7.25633157780232
15,676154,"2019-11-05 19:01:16",-82.2239916049382,26.5615082098765,28.3504014408329,27.3630201284619,6.9279745101715,6.33641413647741
16,676154,"2019-11-05 19:12:47",-82.255769122807,26.5636176315789,28.1768621468665,27.6476663119982,7.48764881183989,5.69605644944375
17,676121,"2019-09-08 19:43:43",-83.1361666666667,26.7680583333333,32.0658233628377,25.1933020829419,7.2304725423442,3.8389376558405
18,676038,"2020-05-01 21:52:26",NA,NA,27.8871590230736,27.9749267074249,6.21417787250652,6.12183089650297
19,676038,"2020-05-01 23:17:54",-82.0696620386905,25.8723677827381,27.6483130261465,27.7787604844208,6.63363780719839,6.51483023024074
20,676038,"2020-05-02 11:21:32",-82.2269195238095,25.8182790972222,26.7145275964584,24.4321739867765,6.64417552624824,6.68353680862629
21,676038,"2020-05-03 18:28:55",NA,NA,27.0851957271178,24.2219929300289,6.45418880019844,7.50766974904544
22,676038,"2020-05-04 12:37:24",-82.6043700322581,25.4779907096774,26.980921754597,24.2986968297615,6.44664526952068,7.61578531825169
23,676038,"2020-05-06 11:13:26",-83.0275721660182,25.6813928339818,26.6458493600431,20.7631767205029,6.48767198819372,7.2134588641479
24,676038,"2020-05-06 15:29:56",-82.8727469352617,25.8983653236915,27.9078568212168,23.6637425364532,6.5164167176027,7.30944158009754
25,676038,"2020-05-06 16:23:01",-82.6862499449685,26.1606083018868,27.6151631611023,24.0564458123366,6.44371719226602,7.3446392451351
